"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"URL      : https://beeline-ru.online/
Навигация: .cards-block-tab-button-mobile
Карточки : .card-block__button
Примечание: Структура аналогична beeline-internet.online.","101094","Мобильные тарифы: Beeline beeline-ru.online","tests","Thu Apr 23 09:35:54 UTC 2026","passed","Thu Apr 23 09:37:35 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://internet-mts-home.online
Навигация: a[href='#mobile']
Карточки : .button-mobile-application
Примечание: URL в ТЗ без протокола, используем https://. Навигация по якорю #mobile.","101684","Мобильные тарифы: MTS internet-mts-home.online","tests","Thu Apr 23 09:32:31 UTC 2026","passed","Thu Apr 23 09:34:13 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://beeline-internet.online/
Навигация: .cards-block-tab-button-mobile
Карточки : .card-block__button
Примечание: Переход через таб-кнопку внутри блока тарифов. CTA ведёт на beeline.ru/customers/products/toptariffs/ с UTM.","100765","Мобильные тарифы: Beeline beeline-internet.online","tests","Thu Apr 23 09:34:13 UTC 2026","broken","Thu Apr 23 09:35:53 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://mts-home-gpon.ru/
Навигация: a[href='/moskva/mobilnaya-svyaz#mobile']
Карточки : .button-mobile-application
Примечание: Стандартный MTS лендинг. Переход по href на /moskva/mobilnaya-svyaz#mobile. Для CTA допускаем редирект в текущей или новой вкладке.","105580","Мобильные тарифы: MTS mts-home-gpon.ru","tests","Thu Apr 23 09:27:20 UTC 2026","passed","Thu Apr 23 09:29:06 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://mega-home-internet.ru
Навигация: button.tariffs-switch__tab[data-pane='mobile']
Карточки : .card-mobile__button
Примечание: Структура аналогична mega-premium.ru.","92903","Мобильные тарифы: Megafon mega-home-internet.ru","tests","Thu Apr 23 09:40:44 UTC 2026","passed","Thu Apr 23 09:42:17 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://online-beeline.ru/
Навигация: .cards-block-tab-button-mobile
Карточки : a.card-block__button
Примечание: Мобильные карточки имеют селектор a.card-block__button (с href). Кнопки без href открывают модалку — не проверяем.","97417","Мобильные тарифы: Beeline online-beeline.ru","tests","Thu Apr 23 09:37:35 UTC 2026","passed","Thu Apr 23 09:39:12 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://t2-ru.online/moskva
Навигация: .click-mobile-trigger
Карточки : .card-new__button
Примечание: Навигация через .click-mobile-trigger. CTA ведёт на t2.ru с UTM-параметрами.","47256","Мобильные тарифы: T2 t2-ru.online","tests","Thu Apr 23 09:42:17 UTC 2026","passed","Thu Apr 23 09:43:04 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://mega-premium.ru
Навигация: button.tariffs-switch__tab[data-pane='mobile']
Карточки : .card-mobile__button
Примечание: Переход через button с data-pane='mobile'. CTA ведёт на 101internet.ru/megafon.","91345","Мобильные тарифы: Megafon mega-premium.ru","tests","Thu Apr 23 09:39:12 UTC 2026","passed","Thu Apr 23 09:40:44 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://mts-home-online.ru/
Навигация: a[href='/moskva/mobilnaya-svyaz#mobile']
Карточки : .button-mobile-application
Примечание: Аналог mts-home-gpon.ru, тот же селектор навигации.","100604","Мобильные тарифы: MTS mts-home-online.ru","tests","Thu Apr 23 09:30:50 UTC 2026","passed","Thu Apr 23 09:32:31 UTC 2026","","test_mobile_tariffs","",""
"URL      : https://mts-home.online
Навигация: a[href='/mobilnaya-svyaz']
Карточки : .button-mobile-application
Примечание: Переход на /mobilnaya-svyaz. Кнопка имеет несколько классов, используем .button-mobile-application.","104294","Мобильные тарифы: MTS mts-home.online","tests","Thu Apr 23 09:29:06 UTC 2026","passed","Thu Apr 23 09:30:50 UTC 2026","","test_mobile_tariffs","",""
